City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Bambous Virieux,MU,2021-05-24 17:02:13,-20.3428,57.7575,74.57,68,59,15.73
274,Alyangula,AU,2021-05-24 17:02:13,-13.8483,136.4192,76.01,78,92,8.7
275,Port Hawkesbury,CA,2021-05-24 17:02:13,45.6169,-61.3485,52.9,55,3,7.0
276,Katsuura,JP,2021-05-24 17:02:14,35.1333,140.3,66.18,87,87,11.7
277,Qinhuangdao,CN,2021-05-24 17:01:57,39.9317,119.5883,55.15,49,67,9.19
278,Sambava,MG,2021-05-24 17:02:14,-14.2667,50.1667,74.64,74,1,15.1
279,Bagdarin,RU,2021-05-24 17:02:14,54.4333,113.6,30.87,56,61,4.7
280,Port Lincoln,AU,2021-05-24 17:02:15,-34.7333,135.8667,59.16,88,100,19.91
281,Cotonou,BJ,2021-05-24 17:02:15,6.3654,2.4183,83.88,72,60,9.44
282,Poso,ID,2021-05-24 17:02:15,-1.3959,120.7524,78.22,88,80,4.65
283,Simbahan,PH,2021-05-24 17:02:16,6.3032,120.5836,83.75,70,49,3.53
284,Karaton,ID,2021-05-24 17:02:16,-6.3424,106.1045,77.95,93,63,1.54
285,Tateyama,JP,2021-05-24 17:01:56,34.9833,139.8667,66.09,87,90,11.14
286,Haines Junction,CA,2021-05-24 17:02:16,60.7522,-137.5108,40.39,98,100,4.03
287,Lebu,CL,2021-05-24 17:02:17,-37.6167,-73.65,57.78,82,96,5.37
288,Bilibino,RU,2021-05-24 17:02:17,68.0546,166.4372,30.34,92,100,2.17
289,Teya,RU,2021-05-24 17:02:17,60.3778,92.6267,47.66,95,100,4.83
290,Puerto Rico,AR,2021-05-24 17:00:28,-26.796,-55.024,66.99,37,6,2.39
291,Ames,US,2021-05-24 17:02:18,42.0347,-93.6199,81.45,53,1,18.41
292,Pacific Grove,US,2021-05-24 17:00:56,36.6177,-121.9166,75.56,87,90,4.0
